figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG000CTQBF3,STARBUCKS CORP,SBUX,US,BBG000CTQBF3,,Common Stock,Equity,BBG001S72KH6,,Common Stock,SBUX
BBG000BKFBD7,STATE STREET CORP,STT,US,BBG000BKFBD7,,Common Stock,Equity,BBG001S5RLD5,,Common Stock,STT
BBG00MRHG523,STERIS PLC,STE,US,BBG00MRHG523,,Common Stock,Equity,BBG00MRHG532,,Common Stock,STE
BBG000DN7P92,STRYKER CORP,SYK,US,BBG000DN7P92,,Common Stock,Equity,BBG001S8FR03,,Common Stock,SYK
BBG000BT0CM2,SVB FINANCIAL GROUP,SIVB,US,BBG000BT0CM2,,Common Stock,Equity,BBG001S5W3B1,,Common Stock,SIVB
BBG00658F3P3,SYNCHRONY FINANCIAL,SYF,US,BBG00658F3P3,,Common Stock,Equity,BBG00658F3Q2,,Common Stock,SYF
BBG000BSFRF3,SYNOPSYS INC,SNPS,US,BBG000BSFRF3,,Common Stock,Equity,BBG001S5VTR8,,Common Stock,SNPS
BBG000BTVJ25,SYSCO CORP,SYY,US,BBG000BTVJ25,,Common Stock,Equity,BBG001S5WJS8,,Common Stock,SYY
BBG000BSJK37,AT&T INC,T,US,BBG000BSJK37,,Common Stock,Equity,BBG001S5VWH2,,Common Stock,T
BBG000C15114,BIO-TECHNE CORP,TECH,US,BBG000C15114,,Common Stock,Equity,BBG001S66C28,,Common Stock,TECH
BBG000BS7KS3,MOLSON COORS BEVERAGE CO - B,TAP,US,BBG000BS7KS3,,Common Stock,Equity,BBG001S5VQ21,,Common Stock,TAP
BBG000NDV1D4,T-MOBILE US INC,TMUS,US,BBG000NDV1D4,,Common Stock,Equity,BBG001SKR9Y6,,Common Stock,TMUS
BBG000BVMPN3,T ROWE PRICE GROUP INC,TROW,US,BBG000BVMPN3,,Common Stock,Equity,BBG001S5WW18,,Common Stock,TROW
BBG000BS1YV5,TAKE-TWO INTERACTIVE SOFTWRE,TTWO,US,BBG000BS1YV5,,Common Stock,Equity,BBG001S9TN41,,Common Stock,TTWO
BBG000BY29C7,TAPESTRY INC,TPR,US,BBG000BY29C7,,Common Stock,Equity,BBG001SFH7D5,,Common Stock,TPR
BBG000H8TVT2,TARGET CORP,TGT,US,BBG000H8TVT2,,Common Stock,Equity,BBG001SC0K41,,Common Stock,TGT
BBG000RGM5P1,TE CONNECTIVITY LTD,TEL,US,BBG000RGM5P1,,Common Stock,Equity,BBG001STLRP3,,Common Stock,TEL
BBG000BMT9T6,TELEDYNE TECHNOLOGIES INC,TDY,US,BBG000BMT9T6,,Common Stock,Equity,BBG001SDK336,,Common Stock,TDY
